date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:23:29	52319/52319	---M-Z	200	added ('OK')	text/html	etag:%22cc5f-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/pages-timeline.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/pages-timeline.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:29	66122/66122	---M-Z	200	added ('OK')	text/html	etag:%221024a-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/pages-faqs.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/pages-faqs.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:30	50182/50182	---M-Z	200	added ('OK')	text/html	etag:%22c406-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/pages-pricing.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/pages-pricing.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:30	2796/2796	---M-Z	200	added ('OK')	text/html	etag:%22aec-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/pages-404.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/pages-404.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:30	2796/2796	---M-Z	200	added ('OK')	text/html	etag:%22aec-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/pages-500.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/pages-500.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:30	63460/63460	---M-Z	200	added ('OK')	text/html	etag:%22f7e4-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-alerts.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-alerts.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:31	71017/71017	---M-Z	200	added ('OK')	text/html	etag:%2211569-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-buttons.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-buttons.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:31	74030/74030	---M-Z	200	added ('OK')	text/html	etag:%221212e-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-cards.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-cards.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:31	62982/62982	---M-Z	200	added ('OK')	text/html	etag:%22f606-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-carousel.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-carousel.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:31	76811/76811	---M-Z	200	added ('OK')	text/html	etag:%2212c0b-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-dropdowns.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-dropdowns.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:32	48574/48574	---M-Z	200	added ('OK')	text/html	etag:%22bdbe-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-grid.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-grid.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:32	49949/49949	---M-Z	200	added ('OK')	text/html	etag:%22c31d-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-images.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-images.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:32	56299/56299	---M-Z	200	added ('OK')	text/html	etag:%22dbeb-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-lightbox.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-lightbox.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:32	79187/79187	---M-Z	200	added ('OK')	text/html	etag:%2213553-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-modals.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-modals.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:33	48607/48607	---M-Z	200	added ('OK')	text/html	etag:%22bddf-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-rangeslider.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-rangeslider.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:33	44471/44471	---M-Z	200	added ('OK')	text/html	etag:%22adb7-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-session-timeout.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-session-timeout.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:33	55683/55683	---M-Z	200	added ('OK')	text/html	etag:%22d983-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-progressbars.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-progressbars.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:33	49600/49600	---M-Z	200	added ('OK')	text/html	etag:%22c1c0-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-sweet-alert.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-sweet-alert.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:34	98530/98530	---M-Z	200	added ('OK')	text/html	etag:%22180e2-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-tabs-accordions.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-tabs-accordions.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:34	55329/55329	---M-Z	200	added ('OK')	text/html	etag:%22d821-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-typography.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-typography.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:34	45441/45441	---M-Z	200	added ('OK')	text/html	etag:%22b181-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-video.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-video.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:34	69899/69899	---M-Z	200	added ('OK')	text/html	etag:%221110b-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-general.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-general.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:35	58780/58780	---M-Z	200	added ('OK')	text/html	etag:%22e59c-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/ui-colors.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-colors.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:35	56240/56240	---M-Z	200	added ('OK')	text/html	etag:%22dbb0-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-rating.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-rating.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:35	58872/58872	---M-Z	200	added ('OK')	text/html	etag:%22e5f8-5bc133ea673be-gzip%22	https://themesbrand.com/minible/layouts/ui-notifications.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/ui-notifications.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:35	74672/74672	---M-Z	200	added ('OK')	text/html	etag:%22123b0-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-elements.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-elements.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:36	65322/65322	---M-Z	200	added ('OK')	text/html	etag:%22ff2a-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-validation.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-validation.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:36	81119/81119	---M-Z	200	added ('OK')	text/html	etag:%2213cdf-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-advanced.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-advanced.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:36	43903/43903	---M-Z	200	added ('OK')	text/html	etag:%22ab7f-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-editors.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-editors.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:36	43959/43959	---M-Z	200	added ('OK')	text/html	etag:%22abb7-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-uploads.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-uploads.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:37	46438/46438	---M-Z	200	added ('OK')	text/html	etag:%22b566-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-xeditable.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-xeditable.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:37	49981/49981	---M-Z	200	added ('OK')	text/html	etag:%22c33d-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-repeater.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-repeater.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:37	69757/69757	---M-Z	200	added ('OK')	text/html	etag:%221107d-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-wizard.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-wizard.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:38	47528/47528	---M-Z	200	added ('OK')	text/html	etag:%22b9a8-5bc133ea6259d-gzip%22	https://themesbrand.com/minible/layouts/form-mask.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/form-mask.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:38	81510/81510	---M-Z	200	added ('OK')	text/html	etag:%2213e66-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/tables-basic.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/tables-basic.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:38	104892/104892	---M-Z	200	added ('OK')	text/html	etag:%22199bc-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/tables-datatable.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/tables-datatable.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:38	73453/73453	---M-Z	200	added ('OK')	text/html	etag:%2211eed-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/tables-responsive.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/tables-responsive.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:39	48069/48069	---M-Z	200	added ('OK')	text/html	etag:%22bbc5-5bc133ea6641d-gzip%22	https://themesbrand.com/minible/layouts/tables-editable.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/tables-editable.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:39	47802/47802	---M-Z	200	added ('OK')	text/html	etag:%22baba-5bc133ea6065d-gzip%22	https://themesbrand.com/minible/layouts/charts-apex.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/charts-apex.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:39	45138/45138	---M-Z	200	added ('OK')	text/html	etag:%22b052-5bc133ea6065d-gzip%22	https://themesbrand.com/minible/layouts/charts-chartjs.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/charts-chartjs.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:39	45176/45176	---M-Z	200	added ('OK')	text/html	etag:%22b078-5bc133ea6065d-gzip%22	https://themesbrand.com/minible/layouts/charts-flot.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/charts-flot.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:40	47467/47467	---M-Z	200	added ('OK')	text/html	etag:%22b96b-5bc133ea615fd-gzip%22	https://themesbrand.com/minible/layouts/charts-knob.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/charts-knob.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:40	46209/46209	---M-Z	200	added ('OK')	text/html	etag:%22b481-5bc133ea615fd-gzip%22	https://themesbrand.com/minible/layouts/charts-sparkline.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/charts-sparkline.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:40	297607/297607	---M-Z	200	added ('OK')	text/html	etag:%2248a87-5bc133ea644dd-gzip%22	https://themesbrand.com/minible/layouts/icons-unicons.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/icons-unicons.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:41	308361/308361	---M-Z	200	added ('OK')	text/html	etag:%224b489-5bc133ea6353d-gzip%22	https://themesbrand.com/minible/layouts/icons-boxicons.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/icons-boxicons.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:41	47985/47985	---M-Z	200	added ('OK')	text/html	etag:%22bb71-5bc133ea6353d-gzip%22	https://themesbrand.com/minible/layouts/icons-materialdesign.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/icons-materialdesign.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:41	90179/90179	---M-Z	200	added ('OK')	text/html	etag:%2216043-5bc133ea6353d-gzip%22	https://themesbrand.com/minible/layouts/icons-dripicons.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/icons-dripicons.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:41	43927/43927	---M-Z	200	added ('OK')	text/html	etag:%22ab97-5bc133ea6353d-gzip%22	https://themesbrand.com/minible/layouts/icons-fontawesome.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/icons-fontawesome.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:41	44596/44596	---M-Z	200	added ('OK')	text/html	etag:%22ae34-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/maps-google.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/maps-google.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:42	47782/47782	---M-Z	200	added ('OK')	text/html	etag:%22baa6-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/maps-vector.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/maps-vector.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:42	45365/45365	---M-Z	200	added ('OK')	text/html	etag:%22b135-5bc133ea6547d-gzip%22	https://themesbrand.com/minible/layouts/maps-leaflet.html	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/maps-leaflet.html	(from https://themesbrand.com/minible/layouts/index.html)
07:23:42	10549/10549	---M--	200	added ('OK')	image/jpeg	etag:%222935-5bc133ea1dfda%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-5.jpg	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/minible/layouts/index.html)
07:23:43	51139/51139	---M--	200	added ('OK')	image/svg+xml	etag:%22c7c3-5bc133ea18219%22	https://themesbrand.com/minible/layouts/assets/images/setup-analytics-amico.svg	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/assets/images/setup-analytics-amico.svg	(from https://themesbrand.com/minible/layouts/index.html)
07:23:43	19359/19359	---M--	200	added ('OK')	image/jpeg	etag:%224b9f-5bc133ea1dfda%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-6.jpg	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/assets/images/users/avatar-6.jpg	(from https://themesbrand.com/minible/layouts/index.html)
07:23:43	11962/11962	---M--	200	added ('OK')	image/jpeg	etag:%222eba-5bc133ea1dfda%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-7.jpg	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/assets/images/users/avatar-7.jpg	(from https://themesbrand.com/minible/layouts/index.html)
07:23:43	11738/11738	---M--	200	added ('OK')	image/jpeg	etag:%222dda-5bc133ea1dfda%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-8.jpg	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/assets/images/users/avatar-8.jpg	(from https://themesbrand.com/minible/layouts/index.html)
07:23:43	10370/10370	---M--	200	added ('OK')	image/jpeg	etag:%222882-5bc133ea1d03a%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-2.jpg	C:/My%20Web%20Sites/minible/themesbrand.com/minible/layouts/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/minible/layouts/index.html)
